Journal title,SJR Impact,SJR Subject Category Best Quartile,Journal article processing charges (APCs),Currency,APC in EUR (including 19% taxes),APC below 2000 EUR,APC information URL,Average number of weeks between submission and publication,Subject category 1,Subject category 2,Journal license,Journal URL,Publisher,pISSN,eISSN
Journal of Structural Biology: X,1.581,Q2,2310,USD,2584,no,https://www.elsevier.com/journals/journal-of-structural-biology-x/2590-1524/open-access-journal,16,Biology (General),,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/journal-of-structural-biology-x,Elsevier,NA,2590-1524
Digital Biomarkers,1.458,Q1,900,CHF,1110,yes,https://www.karger.com/Journal/Guidelines/271954#sec62,18,Biology (General),,"CC BY, CC BY-NC",https://www.karger.com/Journal/Home/271954,Karger Publishers,NA,2504-110X
Movement Ecology,1.428,Q1,2190,GBP,3000,no,https://movementecologyjournal.biomedcentral.com/about,23,Biology (General),,"CC BY, CC0",https://movementecologyjournal.biomedcentral.com,BMC,NA,2051-3933
Frontiers in Cell and Developmental Biology,1.418,Q1,2950,USD,3300,no,http://home.frontiersin.org/about/publishing-fees,12,Biology (General),,CC BY,http://www.frontiersin.org/cell_and_developmental_biology,Frontiers Media S.A.,NA,2296-634X
npj Systems Biology and Applications,1.388,Q1,2690,GBP,3685,no,https://www.nature.com/npjsba/about/apc,8,Biology (General),,CC BY,https://www.nature.com/npjsba/,Nature Portfolio,NA,2056-7189
Biological Research,1.294,Q1,2290,GBP,3137,no,https://biolres.biomedcentral.com/about,23,Biology (General),,"CC BY, CC0",https://biolres.biomedcentral.com/,BMC,0716-9760,0717-6287
Frontiers in Molecular Biosciences,1.233,Q1,2490,USD,2785,no,http://home.frontiersin.org/about/publishing-fees,14,Biology (General),,CC BY,http://www.frontiersin.org/Molecular_Biosciences,Frontiers Media S.A.,NA,2296-889X
International Journal of Molecular Sciences,1.154,Q1,2900,CHF,3577,no,http://www.mdpi.com/journal/ijms/apc,6,Biology (General),Chemistry,CC BY,http://www.mdpi.com/journal/ijms,MDPI AG,1661-6596,1422-0067
Bioinformatics and Biology Insights,1.128,Q1,1848,USD,2067,no,https://journals.sagepub.com/author-instructions/bbi,8,Biology (General),,"CC BY, CC BY-NC",https://journals.sagepub.com/home/bbi,SAGE Publishing,NA,1177-9322
Biology Direct,1.117,Q1,2290,GBP,3137,no,https://biologydirect.biomedcentral.com/about,9,Biology (General),,"CC BY, CC0",https://biologydirect.biomedcentral.com/,BMC,NA,1745-6150
Microbial Cell,1.101,Q1,1190,EUR,1416,yes,http://microbialcell.com/for-authors-2/editorial-policies/#publication_charges,12,Biology (General),,CC BY,http://microbialcell.com/,Shared Science Publishers OG,NA,2311-2638
Matrix Biology Plus,1.083,Q1,1870,USD,2092,no,https://www.elsevier.com/journals/matrix-biology-plus/2590-0285/open-access-journal,12,Biology (General),,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/matrix-biology-plus,Elsevier,NA,2590-0285
BMB Reports,1.078,Q1,550,USD,615,yes,http://www.bmbreports.org/authors/sub01.html,7,Biology (General),Biochemistry,CC BY-NC,http://www.jbmb.or.kr/index.html,Korean Society for Biochemistry and Molecular Biology,1976-6696,1976-670X
Biology Methods & Protocols,0.963,Q1,578,GBP,792,yes,https://academic.oup.com/biomethods/pages/General_Instructions#OA,19,Biology (General),,"CC BY, CC BY-NC",https://academic.oup.com/biomethods,Oxford University Press,NA,2396-8923
Plant Diversity,0.944,Q1,No,-,0,yes,https://www.keaipublishing.com/en/journals/plant-diversity/guide-for-authors/#340795,19,Biology (General),Botany,"CC BY, CC BY-NC-ND",http://www.keaipublishing.com/en/journals/plant-diversity/,"KeAi Communications Co., Ltd.",NA,2468-2659
Integrative Organismal Biology,0.923,Q1,1935,USD,2164,no,https://academic.oup.com/iob/pages/General_Instructions,20,Biology (General),Zoology,CC BY,https://academic.oup.com/iob,Oxford University Press,NA,2517-4843
Microorganisms,0.909,Q2,2200,CHF,2714,"yes, library special terms",https://www.mdpi.com/journal/microorganisms/apc,6,Biology (General),,CC BY,https://www.mdpi.com/journal/microorganisms,MDPI AG,NA,2076-2607
Conservation Physiology,0.902,Q1,1700,GBP,2329,no,https://academic.oup.com/conphys/pages/General_Instructions,11,Biology (General),"General. Including nature conservation, geographical distribution",CC BY,https://academic.oup.com/conphys,Oxford University Press,NA,2051-1434
Biomedicines,0.897,Q1,2600,CHF,3207,"yes, library special terms",http://www.mdpi.com/journal/biomedicines/apc,6,Biology (General),,CC BY,http://www.mdpi.com/journal/biomedicines,MDPI AG,NA,2227-9059
Journal of Fungi,0.871,Q1,2200,CHF,2714,"yes, library special terms",http://www.mdpi.com/journal/jof/apc,6,Biology (General),,CC BY,http://www.mdpi.com/journal/jof,MDPI AG,NA,2309-608X
Journal of Biological Engineering,0.851,Q1,2190,GBP,3000,no,https://jbioleng.biomedcentral.com/about,17,Biology (General),,"CC BY, CC0",https://jbioleng.biomedcentral.com/,BMC,NA,1754-1611
Biology Open,0.824,Q1,1995,USD,2232,no,https://journals.biologists.com/bio/pages/rights-permissions,8,Biology (General),,CC BY,https://journals.biologists.com/bio,The Company of Biologists,NA,2046-6390
Mycology,0.813,Q1,950,GBP,1301,yes,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tmyc20,13,Biology (General),Microbiology,"CC BY, CC BY-NC",https://www.tandfonline.com/journals/tmyc,Taylor & Francis Group,2150-1203,2150-1211
Marine Drugs,0.813,Q1,2500,CHF,3084,no,http://www.mdpi.com/journal/marinedrugs/apc,6,Biology (General),,CC BY,http://www.mdpi.com/journal/marinedrugs,MDPI AG,NA,1660-3397
Current Research in Structural Biology,0.781,Q3,2500,USD,2796,no,https://www.elsevier.com/journals/current-research-in-structural-biology/2665-928X/open-access-journal,8,Biology (General),,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/current-research-in-structural-biology/,Elsevier,NA,2665-928X
Biology,0.779,Q1,2700,CHF,3331,"yes, library special terms",https://www.mdpi.com/journal/biology/apc,6,Biology (General),,CC BY,https://www.mdpi.com/journal/biology,MDPI AG,NA,2079-7737
Journal of Developmental Biology,0.737,Q3,1600,CHF,1974,"yes, library special terms",http://www.mdpi.com/journal/jdb/apc,6,Biology (General),,CC BY,http://www.mdpi.com/journal/jdb,MDPI AG,NA,2221-3759
FASEB BioAdvances,0.731,Q2,2200,USD,2461,"no, but DEAL special terms",https://onlinelibrary.wiley.com/page/journal/25739832/homepage/authorguidelines.html#LICENSING,10,Biology (General),,"CC BY, CC BY-NC",https://onlinelibrary.wiley.com/journal/25739832,Wiley,NA,2573-9832
Molecular Imaging,0.697,Q2,2175,USD,2433,no,https://www.hindawi.com/journals/moi/apc/,15,Biology (General),Medical technology,CC BY,https://www.hindawi.com/journals/moi/,Hindawi - SAGE Publishing,NA,1536-0121
Applications in Plant Sciences,0.686,Q1,1400,USD,1566,"yes, also under DEAL",https://bsapubs.onlinelibrary.wiley.com/hub/journal/21680450/homepage/article_publication_charges,12,Biology (General),Botany,"CC BY, CC BY-NC, CC BY-NC-ND",https://bsapubs.onlinelibrary.wiley.com/journal/21680450,Wiley,NA,2168-0450
FEBS Open Bio,0.656,Q2,1750,USD,1958,"yes, also under DEAL",https://febs.onlinelibrary.wiley.com/hub/journal/22115463/journal-menu/author-guidelines#open,10,Biology (General),,CC BY,https://febs.onlinelibrary.wiley.com/journal/22115463,Wiley,NA,2211-5463
Current Issues in Molecular Biology,0.655,Q2,2000,CHF,2467,"yes, library special terms",https://www.mdpi.com/journal/cimb/apc,6,Biology (General),,CC BY,https://www.mdpi.com/journal/cimb,MDPI AG,1467-3037,1467-3045
PPAR Research,0.631,Q2,1500,USD,1678,yes,http://www.hindawi.com/journals/ppar/apc/,12,Biology (General),,CC BY,https://www.hindawi.com/journals/ppar/,Hindawi Limited,1687-4757,1687-4765
Journal of Circadian Rhythms,0.609,Q3,500,GBP,685,yes,http://www.jcircadianrhythms.com/about/submissions#authorFees,12,Biology (General),,CC BY,http://www.jcircadianrhythms.com/,Ubiquity Press,NA,1740-3391
Journal of Insect Science,0.583,Q2,1969,USD,2202,no,https://academic.oup.com/jinsectscience/pages/Charges_Licensing_And_Self_Archiving,12,Biology (General),,"CC BY, CC BY-NC, CC BY-NC-ND",https://academic.oup.com/jinsectscience,Oxford University Press,NA,1536-2442
Methods and Protocols,0.576,Q2,1600,CHF,1974,"yes, library special terms",http://www.mdpi.com/journal/mps/apc,6,Biology (General),,CC BY,https://www.mdpi.com/journal/mps,MDPI AG,NA,2409-9279
Fly,0.572,Q2,1860,USD,2081,no,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=kfly20,9,Biology (General),,"CC BY, CC BY-NC",https://www.tandfonline.com/journals/kfly20,Taylor & Francis Group,1933-6934,1933-6942
Biochemistry and Biophysics Reports,0.552,Q2,2210,USD,2472,no,https://www.elsevier.com/journals/biochemistry-and-biophysics-reports/2405-5808/open-access-journal,8,Biology (General),Biochemistry,"CC BY, CC BY-NC-ND",http://www.journals.elsevier.com/biochemistry-and-biophysics-reports/,Elsevier,NA,2405-5808
Advances and Applications in Bioinformatics and Chemistry,0.542,Q2,2390,USD,2673,no,https://www.dovepress.com/journal_pricing_bands.php?journal_id=25,16,Biology (General),Biochemistry,"CC BY, CC BY-NC",https://www.dovepress.com/computational-biology-and-chemistry-advances-and-applications-journal,Dove Medical Press,NA,1178-6949
Journal of Biological Research - Thessaloniki,0.52,Q2,1000,EUR,1190,yes,https://ejournals.lib.auth.gr/jbiolres/about/editorialPolicies#custom-4,14,Biology (General),,CC BY,https://ejournals.lib.auth.gr/jbiolres/index,Aristotle University of Thessaloniki,1790-045X,2241-5793
European Journal of Histochemistry,0.518,Q2,950,EUR,1130,yes,https://www.ejh.it/index.php/ejh/fee,6,Biology (General),,CC BY-NC,http://www.ejh.it/,PAGEPress Publications,1121-760X,2038-8306
Vision,0.482,Q2,1600,CHF,1974,"yes, library special terms",http://www.mdpi.com/journal/vision/apc,11,Biology (General),,CC BY,http://www.mdpi.com/journal/vision,MDPI AG,NA,2411-5150
Journal of Nematology,0.467,Q2,600,USD,671,yes,https://sciendo.com/journal/JOFNEM,14,Biology (General),,CC BY,https://sciendo.com/pl/journal/JOFNEM,Sciendo,0022-300X,2640-396X
Biodiversity Data Journal,0.46,Q2,650,EUR,774,yes,https://bdj.pensoft.net/about#ArticleProcessingCharges,6,Biology (General),,CC BY,http://bdj.pensoft.net,Pensoft Publishers,NA,1314-2828
Communicative & Integrative Biology,0.442,Q2,1250,GBP,1712,yes,http://www.tandfonline.com/action/authorSubmission?journalCode=kcib20&page=instructions#.VgGwHsuqpBc,6,Biology (General),,"CC BY, CC BY-NC",https://www.tandfonline.com/journals/kcib,Taylor & Francis Group,NA,1942-0889
Reports of Biochemistry and Molecular Biology,0.432,Q3,150,USD,168,yes,http://rbmb.net/page/21/Submission-Instruction,10,Biology (General),Biochemistry,CC BY,http://www.rbmb.net/,Varastegan Institute for Medical Sciences,NA,2322-3480
ACS Bio & Med Chem Au,0.379,Q2,2500,USD,2796,no,https://acsopenscience.org/open-access/pricing/,10,Biology (General),Biochemistry,"CC BY, CC BY-NC-ND",https://pubs.acs.org/journal/abmcb8,American Chemical Society,NA,2694-2437
Open Life Sciences,0.365,Q2,2000,EUR,2380,no,https://www.degruyter.com/publication/journal_key/BIOL/downloadAsset/BIOL_Article%20Processing%20Charges.pdf,43,Biology (General),,CC BY-NC-ND,http://www.degruyter.com/view/j/biol,De Gruyter,NA,2391-5412
IET Systems Biology,0.354,Q3,2000,USD,2237,"no, but DEAL special terms",https://ietresearch.onlinelibrary.wiley.com/hub/journal/17518857/homepage/open-access,23,Biology (General),,"CC BY, CC BY-ND, CC BY-NC, CC BY-NC-ND",https://ietresearch.onlinelibrary.wiley.com/journal/17518857,Wiley,1751-8849,1751-8857
Tropical Life Sciences Research,0.291,Q2,No,-,0,yes,http://www.tlsr.usm.my/tlsrGFA_nov2015.pdf,20,Biology (General),,CC BY,http://www.tlsr.usm.my/,Penerbit Universiti Sains Malaysia,1985-3718,2180-4249
Journal of Biology,-,-,2190,GBP,3000,no,https://bmcbiol.biomedcentral.com/about,9,Biology (General),,CC BY,https://bmcbiol.biomedcentral.com/,BMC,1478-5854,1475-4924
Biomolecules & Biomedicine,-,-,1195,EUR,1422,yes,https://www.bjbms.org/ojs/index.php/bjbms/apc,4,Biology (General),,CC BY,http://biomolbiomed.com/,Association of Basic Medical Sciences of Federation of Bosnia and Herzegovina,2831-0896,2831-090X
Biomedical Engineering and Computational Biology,-,-,1848,USD,2067,no,https://journals.sagepub.com/author-instructions/bec,8,Biology (General),,"CC BY, CC BY-NC",https://journals.sagepub.com/home/bec,SAGE Publishing,NA,1179-5972
Bioinformatics,-,-,3618,USD,4047,no,https://academic.oup.com/bioinformatics/pages/instructions_for_authors,23,Biology (General),,CC BY,https://academic.oup.com/BIOINFORMATICS,Oxford University Press,NA,1367-4811
Engineering Biology,-,-,2000,USD,2237,"no, but DEAL special terms",https://ietresearch.onlinelibrary.wiley.com/hub/journal/23986182/homepage/open-access,22,Biology (General),,"CC BY, CC BY-ND, CC BY-NC, CC BY-NC-ND",https://ietresearch.onlinelibrary.wiley.com/journal/23986182,Wiley,NA,2398-6182
Contact,-,-,800,USD,895,yes,https://journals.sagepub.com/author-instructions/CTC#ArticleProcessingCharge,58,Biology (General),Biochemistry,"CC BY, CC BY-NC",https://journals.sagepub.com/home/ctc,SAGE Publishing,NA,2515-2564
microPublication Biology,-,-,250,USD,280,yes,https://www.micropublication.org/about/for-authors/,3,Biology (General),,CC BY,https://www.micropublication.org,Caltech Library,NA,2578-9430
Stress Biology,-,-,No,-,0,yes,https://www.springer.com/journal/44154/,12,Biology (General),,CC BY,https://www.springer.com/journal/44154,Springer,NA,2731-0450
Cell Insight,-,-,1950,USD,2181,no,https://www.elsevier.com/journals/cell-insight/2772-8927/open-access-information,7,Biology (General),Medicine (General),"CC BY, CC BY-NC-ND",https://www.sciencedirect.com/journal/cell-insight,Elsevier,NA,2772-8927
Cell Reports: Methods,2.145,Q1,5200,USD,5817,no,https://www.cell.com/rights-sharing-embargoes,15,Biotechnology,Biochemistry,"CC BY, CC BY-NC-ND",https://www.cell.com/cell-reports-methods,Elsevier,NA,2667-2375
Nano Convergence,1.891,Q1,No,-,0,"yes, also under DEAL",https://nanoconvergencejournal.springeropen.com/about,13,Biotechnology,Physics,CC BY,http://www.nanoconvergencejournal.com,SpringerOpen,NA,2196-5404
Cell & Bioscience,1.751,Q1,2390,GBP,3274,no,https://cellandbioscience.biomedcentral.com/about,8,Biotechnology,Biology (General),"CC BY, CC0",https://cellandbioscience.biomedcentral.com/,BMC,NA,2045-3701
Computational and Structural Biotechnology Journal,1.579,Q1,2950,EUR,3510,no,https://www.elsevier.com/journals/computational-and-structural-biotechnology-journal/2001-0370/open-access-journal,6,Biotechnology,,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/computational-and-structural-biotechnology-journal,Elsevier,NA,2001-0370
Journal of Nanobiotechnology,1.421,Q1,2690,GBP,3685,no,https://jnanobiotechnology.biomedcentral.com/about,16,Biotechnology,Medical technology,"CC BY, CC0",https://jnanobiotechnology.biomedcentral.com/,BMC,NA,1477-3155
APL Bioengineering,1.269,Q1,2200,USD,2461,no,http://aip.scitation.org/apb/authors/charges,19,Biotechnology,Medical technology,CC BY,http://aip.scitation.org/journal/apb/,AIP Publishing LLC,NA,2473-2877
Biofilm,1.182,Q1,2410,USD,2696,no,https://www.elsevier.com/journals/biofilm/2590-2075/open-access-journal,10,Biotechnology,Microbiology,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/biofilm,Elsevier,NA,2590-2075
Microbial Biotechnology,1.108,Q1,2420,EUR,2880,"no, but DEAL special terms",https://sfamjournals.onlinelibrary.wiley.com/hub/journal/17517915/homepage/article_publication_charges.htm,15,Biotechnology,,"CC BY, CC BY-NC, CC BY-NC-ND",https://sfamjournals.onlinelibrary.wiley.com/journal/17517915,Wiley,NA,1751-7915
BMC Genomics,1.107,Q1,2290,GBP,3137,no,https://bmcgenomics.biomedcentral.com/about,17,Biotechnology,Genetics,"CC BY, CC0",http://bmcgenomics.biomedcentral.com,BMC,NA,1471-2164
Biotechnology Reports,0.993,Q1,2690,USD,3009,no,https://www.elsevier.com/journals/biotechnology-reports/2215-017X/open-access-journal,20,Biotechnology,,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/biotechnology-reports/,Elsevier,NA,2215-017X
Metabolic Engineering Communications,0.981,Q1,3020,USD,3378,no,https://www.elsevier.com/journals/metabolic-engineering-communications/2214-0301/open-access-journal,18,Biotechnology,Biology (General),"CC BY, CC BY-NC-ND",http://www.journals.elsevier.com/metabolic-engineering-communications/,Elsevier,NA,2214-0301
Fungal Biology and Biotechnology,0.975,Q1,1890,GBP,2589,no,https://fungalbiolbiotech.biomedcentral.com/about,9,Biotechnology,,"CC BY, CC0",https://fungalbiolbiotech.biomedcentral.com,BMC,NA,2054-3085
Frontiers in Bioengineering and Biotechnology,0.93,Q1,2950,USD,3300,no,http://home.frontiersin.org/about/publishing-fees,12,Biotechnology,,CC BY,http://www.frontiersin.org/bioengineering_and_biotechnology,Frontiers Media S.A.,NA,2296-4185
Synthetic Biology,0.925,Q1,3020,USD,3378,no,https://academic.oup.com/synbio/pages/General_Instructions,25,Biotechnology,,"CC BY, CC BY-NC, CC BY-NC-ND",https://academic.oup.com/synbio,Oxford University Press,NA,2397-7000
QRB Discovery,0.863,Q1,3255,GBP,4459,"yes, library special terms",https://www.cambridge.org/core/journals/qrb-discovery/information/open-access-options,12,Biotechnology,Biology (General),"CC BY, CC BY-NC-SA, CC BY-NC-ND",https://www.cambridge.org/core/journals/qrb-discovery,Cambridge University Press,NA,2633-2892
npj Microgravity,0.859,Q1,2690,GBP,3685,no,https://www.nature.com/npjmgrav/about/apc,9,Biotechnology,Physiology,CC BY,https://www.nature.com/npjmgrav/,Nature Portfolio,NA,2373-8065
Regenerative Biomaterials,0.84,Q2,1650,USD,1846,yes,https://academic.oup.com/rb/pages/general_instructions#Open%20Access%20charges,10,Biotechnology,,CC BY,https://academic.oup.com/rb,Oxford University Press,NA,2056-3426
Journal of Industrial Microbiology and Biotechnology,0.815,Q1,2625,USD,2936,no,https://academic.oup.com/jimb/pages/general-instructions#Open%20Access,14,Biotechnology,Microbiology,"CC BY, CC BY-NC-ND",https://academic.oup.com/jimb,Oxford University Press,1367-5435,1476-5535
